date,reply count,sentiment type,sentiment score,change_percent,volume
2020-05-19,13276,negative,0.7157397,-0.69,9636521
2020-05-26,87,negative,0.65187216,0.24,8089735
2020-06-01,689,negative,0.898457,7.56,15085299
2020-06-04,1850,negative,0.8441765,-2.1,8887712
2020-06-08,11056,negative,0.9447779,7.26,14174729
2020-06-09,38,negative,0.7978607,-0.97,11388149
2020-06-10,379,negative,0.91220975,8.97,18563409
2020-06-11,396,negative,0.8767092,-5.09,15916479
2020-06-16,107,negative,0.62521327,-0.89,14051079
2020-06-22,283,negative,0.84679335,-0.66,6362349
2020-06-23,1525,negative,0.57219696,0.75,6365270
2020-06-26,62,negative,0.78951544,-2.66,8854907
2020-06-29,2658,negative,0.82334477,5.17,9026403
2020-07-01,675,negative,0.9185526,3.69,13326899
2020-07-02,785,negative,0.8838068,7.95,17250118
2020-07-06,1443,negative,0.93072504,13.48,20569858
2020-07-08,1050,negative,0.5671031,-1.73,16311310
2020-07-09,151,negative,0.63318783,2.08,11717599
2020-07-10,243,negative,0.7634393,10.78,23337550
2020-07-13,121,negative,0.8138593,-3.08,38985357
2020-07-14,94,negative,0.6858575,1.32,23418140
2020-07-15,2160,negative,0.8832558,1.93,16367830
2020-07-20,3429,negative,0.82548505,9.47,17121368
2020-07-22,372,negative,0.79515576,1.53,14161079
2020-07-23,193,negative,0.87699133,-4.98,24328498
2020-07-24,28337,negative,0.956112,-6.35,19396618
2020-07-27,35006,negative,0.9434496,8.65,16048670
2020-07-28,289,negative,0.5969311,-4.1,15808698
2020-07-29,114,negative,0.7498893,1.53,9426892
2020-07-30,12545,negative,0.57753956,-0.78,7621039
2020-07-31,133,negative,0.7743763,-3.81,12246959
2020-08-03,145,negative,0.51533324,3.79,8809345
2020-08-04,307,negative,0.7035423,0.13,8414989
2020-08-10,1667,negative,0.8477404,-2.35,7522263
2020-08-13,253,negative,0.8402463,4.26,20425311
2020-08-17,5392,negative,0.9176889,11.2,20242319
2020-08-18,79,negative,0.5404896,2.8,16474489
2020-08-19,107,negative,0.6027748,-0.45,12205329
2020-08-20,3644,negative,0.5451401,6.56,20611800
2020-08-25,123,negative,0.82659256,0.45,10658889
2020-08-27,130,negative,0.5240957,3.97,23693037
2020-08-28,96,negative,0.7268406,-1.13,20081177
2020-08-31,573,negative,0.91441226,12.57,118374394
2020-09-01,44,negative,0.4868781,-4.67,90119419
2020-09-04,99,negative,0.8636653,2.78,110321902
2020-09-09,1437,negative,0.7022572,10.92,79465763
2020-09-10,291,negative,0.6718735,1.38,84930606
2020-09-11,303,negative,0.72385865,0.37,60717455
2020-09-14,301,negative,0.85345936,12.58,83020606
2020-09-17,440,negative,0.5210339,-4.15,76779153
2020-09-21,2363,negative,0.6469806,1.64,109476793
2020-09-22,1127,negative,0.79531384,-5.6,79580794
2020-09-24,2581,negative,0.9090105,1.95,96561052
2020-09-25,82,negative,0.89275074,5.04,67208458
2020-09-28,609,negative,0.91220653,3.4,49719557
2020-10-02,42,negative,0.7655031,-7.38,71430029
2020-10-06,190,negative,0.95600516,-2.75,49146256
2020-10-07,122,negative,0.5992573,2.73,43127709
2020-10-08,128,negative,0.76814324,0.15,40421119
2020-10-09,70,negative,0.7058553,1.9,28925659
2020-10-12,993,negative,0.9142603,1.91,38791128
2020-10-13,213,negative,0.54563606,0.98,34463671
2020-10-15,268,negative,0.6605985,-2.69,35672351
2020-10-19,245,negative,0.5123661,-2.01,36287839
2020-10-27,130,negative,0.8684617,1.05,22686509
2020-10-28,186,negative,0.88764125,-4.39,25451407
2020-10-29,128,negative,0.60107315,1.18,22655310
2020-11-02,224,negative,0.55134934,3.21,29021118
2020-11-03,1025,negative,0.821112,5.84,34351718
2020-11-04,265,negative,0.4837502,-0.69,32143060
2020-11-05,106,negative,0.76295066,4.06,28414519
2020-11-09,3824,negative,0.7770547,-2.02,34833030
2020-11-10,105,negative,0.6637951,-2.59,30284220
2020-11-13,34019,negative,0.8787913,-0.79,19830349
2020-11-16,2477,negative,0.6300372,-0.1,26838640
2020-11-17,64,negative,0.6462621,8.21,61188279
2020-11-19,163,negative,0.475945,2.6,62475350
2020-11-20,265,negative,0.57205254,-1.93,32911921
2020-11-23,125,negative,0.5114444,6.58,50260299
2020-11-25,1339,negative,0.48506767,3.35,48930158
2020-11-30,478,negative,0.6554576,-3.1,63003045
2020-12-15,654,negative,0.7836388,-1.03,45223557
2020-12-16,7063,negative,0.5965809,-1.65,42095807
2020-12-17,228,negative,0.83689415,5.32,56270139
2020-12-21,7582,negative,0.9340428,-6.49,58045260
2020-12-23,3296,negative,0.5092461,0.88,33172968
2020-12-28,205,negative,0.65678006,0.29,32278560
2020-12-29,546,negative,0.79249936,0.35,22910808
2020-12-30,3643,negative,0.9202711,4.32,42846018
2021-01-07,262,negative,0.8791063,7.94,51498951
2021-01-08,472,negative,0.58057487,7.84,75055528
2021-01-11,3493,negative,0.79722375,-7.82,59554150
2021-01-13,281,negative,0.85994387,0.59,33312499
2021-01-14,158,negative,0.5041188,-1.1,31266327
2021-01-15,158,negative,0.55653775,-2.23,38777601
2021-01-25,302,negative,0.9055993,4.03,41173396
2021-01-26,221,negative,0.7518754,0.26,23131599
2021-01-28,1222,negative,0.9147668,-3.32,26378048
2021-01-29,20328,negative,0.8688047,-5.02,34990753
